filename,projectname,country,version,date,formatted_date,crc,release,file_size,full_path
KB403_11A_DE_0.1.6.250526_1FD3_beta_Open.bin,KB403_11A,DE,0.1.6,250526,2026-05-25,1FD3,beta,90228,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.1.6.250526_beta\DE\KB403_11A_DE_0.1.6.250526_1FD3_beta_Open.bin
KB403_11A_JP_0.1.6.250526_C2C4_beta_Open.bin,KB403_11A,JP,0.1.6,250526,2026-05-25,C2C4,beta,90056,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.1.6.250526_beta\JP\KB403_11A_JP_0.1.6.250526_C2C4_beta_Open.bin
KB403_11A_UK_0.1.6.250526_200C_beta_Open.bin,KB403_11A,UK,0.1.6,250526,2026-05-25,200C,beta,90228,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.1.6.250526_beta\UK\KB403_11A_UK_0.1.6.250526_200C_beta_Open.bin
KB403_11A_US_0.1.6.250526_C3A5_beta_Open.bin,KB403_11A,US,0.1.6,250526,2026-05-25,C3A5,beta,90060,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.1.6.250526_beta\US\KB403_11A_US_0.1.6.250526_C3A5_beta_Open.bin
KB403_11A_DE_0.2.0.250617_5574_beta_Open.bin,KB403_11A,DE,0.2.0,250617,2017-06-25,5574,beta,91148,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.2.0.250617_beta\DE\KB403_11A_DE_0.2.0.250617_5574_beta_Open.bin
KB403_11A_JP_0.2.0.250617_2196_beta_Open.bin,KB403_11A,JP,0.2.0,250617,2017-06-25,2196,beta,90976,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.2.0.250617_beta\JP\KB403_11A_JP_0.2.0.250617_2196_beta_Open.bin
KB403_11A_UK_0.2.0.250617_55AD_beta_Open.bin,KB403_11A,UK,0.2.0,250617,2017-06-25,55AD,beta,91148,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.2.0.250617_beta\UK\KB403_11A_UK_0.2.0.250617_55AD_beta_Open.bin
KB403_11A_US_0.2.0.250617_230F_beta_Open.bin,KB403_11A,US,0.2.0,250617,2017-06-25,230F,beta,90980,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.2.0.250617_beta\US\KB403_11A_US_0.2.0.250617_230F_beta_Open.bin
KB403_11A_DE_0.2.0.250618_5520_beta_Open.bin,KB403_11A,DE,0.2.0,250618,2018-06-25,5520,beta,91168,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.2.0.250618_beta\DE\KB403_11A_DE_0.2.0.250618_5520_beta_Open.bin
KB403_11A_JP_0.2.0.250618_2A03_beta_Open.bin,KB403_11A,JP,0.2.0,250618,2018-06-25,2A03,beta,91000,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.2.0.250618_beta\JP\KB403_11A_JP_0.2.0.250618_2A03_beta_Open.bin
KB403_11A_UK_0.2.0.250618_5559_beta_Open.bin,KB403_11A,UK,0.2.0,250618,2018-06-25,5559,beta,91168,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.2.0.250618_beta\UK\KB403_11A_UK_0.2.0.250618_5559_beta_Open.bin
KB403_11A_US_0.2.0.250618_2B90_beta_Open.bin,KB403_11A,US,0.2.0,250618,2018-06-25,2B90,beta,91000,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.2.0.250618_beta\US\KB403_11A_US_0.2.0.250618_2B90_beta_Open.bin
KB403_11A_DE_0.3.0.250630_563D_beta_Open.bin,KB403_11A,DE,0.3.0,250630,2030-06-25,563D,beta,91168,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.3.0.250630_beta\DE\KB403_11A_DE_0.3.0.250630_563D_beta_Open.bin
KB403_11A_JP_0.3.0.250630_2B20_beta_Open.bin,KB403_11A,JP,0.3.0,250630,2030-06-25,2B20,beta,91000,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.3.0.250630_beta\JP\KB403_11A_JP_0.3.0.250630_2B20_beta_Open.bin
KB403_11A_UK_0.3.0.250630_5676_beta_Open.bin,KB403_11A,UK,0.3.0,250630,2030-06-25,5676,beta,91168,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.3.0.250630_beta\UK\KB403_11A_UK_0.3.0.250630_5676_beta_Open.bin
KB403_11A_US_0.3.0.250630_2CAD_beta_Open.bin,KB403_11A,US,0.3.0,250630,2030-06-25,2CAD,beta,91000,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.3.0.250630_beta\US\KB403_11A_US_0.3.0.250630_2CAD_beta_Open.bin
KB403_11A_DE_0.4.0.250715_F4FE_beta_Open.bin,KB403_11A,DE,0.4.0,250715,2015-07-25,F4FE,beta,91564,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.4.0.250715_beta\DE\KB403_11A_DE_0.4.0.250715_F4FE_beta_Open.bin
KB403_11A_JP_0.4.0.250715_97B1_beta_Open.bin,KB403_11A,JP,0.4.0,250715,2015-07-25,97B1,beta,91396,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.4.0.250715_beta\JP\KB403_11A_JP_0.4.0.250715_97B1_beta_Open.bin
KB403_11A_UK_0.4.0.250715_F537_beta_Open.bin,KB403_11A,UK,0.4.0,250715,2015-07-25,F537,beta,91564,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.4.0.250715_beta\UK\KB403_11A_UK_0.4.0.250715_F537_beta_Open.bin
KB403_11A_US_0.4.0.250715_99BD_beta_Open.bin,KB403_11A,US,0.4.0,250715,2015-07-25,99BD,beta,91404,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.4.0.250715_beta\US\KB403_11A_US_0.4.0.250715_99BD_beta_Open.bin
