scan_time分析报告 - baseus-主板固定60Hz发送1.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
383	20:10:02.340	17100		150.0
384	20:10:02.356	17250		150.0
385	20:10:02.371	17400		150.0
386	20:10:02.386	17550		150.0
387	20:10:02.416	17700		150.0
388	20:10:02.431	17850		150.0
389	20:10:02.444	18000		150.0
390	20:10:02.444	18150		150.0
391	20:10:02.446	18300		150.0
392	20:10:02.476	18450		150.0
393	20:10:02.491	18600		150.0
394	20:10:02.506	18750		150.0
395	20:10:02.521	18900		150.0
396	20:10:02.536	19050		150.0
397	20:10:02.551	19200		150.0
398	20:10:02.566	19350		150.0
399	20:10:02.581	19500		150.0
400	20:10:02.596	19650		150.0
401	20:10:02.627	19800		150.0
402	20:10:02.641	19950		150.0
403	20:10:02.656	0		150.0
404	20:10:02.671	150		150.0
405	20:10:02.686	300		150.0
406	20:10:02.701	450		150.0
407	20:10:02.716	600		150.0
408	20:10:02.731	750		150.0
409	20:10:02.746	900		150.0
410	20:10:02.776	1050		150.0
411	20:10:02.791	1200		150.0
412	20:10:02.834	1350		150.0
413	20:10:02.851	1500		150.0
414	20:10:02.865	1650		150.0
415	20:10:02.865	1800		150.0
416	20:10:02.865	1950		150.0
417	20:10:02.881	2100		150.0
418	20:10:02.896	2250		150.0
419	20:10:02.911	2400		150.0
420	20:10:02.941	2550		150.0
421	20:10:02.955	2700		150.0
422	20:10:02.971	2850		150.0
423	20:10:02.986	3000		150.0
424	20:10:03.001	3150		150.0
425	20:10:03.031	3300		150.0
426	20:10:03.046	3450		150.0
427	20:10:03.059	3600		150.0
428	20:10:03.076	3750		150.0
429	20:10:03.091	3900		150.0
430	20:10:03.106	4050		150.0
431	20:10:03.121	4200		150.0
432	20:10:03.136	4350		150.0
433	20:10:03.164	4500		150.0
434	20:10:03.181	4650		150.0
435	20:10:03.196	4800		150.0
436	20:10:03.211	4950		150.0
437	20:10:03.226	5100		150.0
438	20:10:03.241	5250		150.0
439	20:10:03.255	5400		150.0
440	20:10:03.271	5550		150.0
441	20:10:03.286	5700		150.0
442	20:10:03.301	5850		150.0
443	20:10:03.331	6000		150.0
444	20:10:03.346	6150		150.0
445	20:10:03.361	6300		150.0
446	20:10:03.376	6450		150.0
447	20:10:03.390	6600		150.0
448	20:10:03.418	6750		150.0
449	20:10:03.436	6900		150.0
450	20:10:03.451	7050		150.0
451	20:10:03.465	7200		150.0
452	20:10:03.481	7350		150.0
453	20:10:03.496	7500		150.0
454	20:10:03.511	7650		150.0
455	20:10:03.526	7800		150.0
456	20:10:03.556	7950		150.0
457	20:10:03.569	8100		150.0
458	20:10:03.586	8250		150.0
459	20:10:03.601	8400		150.0
460	20:10:03.616	8550		150.0
461	20:10:03.631	8700		150.0
462	20:10:03.661	8850		150.0
463	20:10:03.675	9000		150.0
464	20:10:03.691	9150		150.0
465	20:10:03.706	9300		150.0
466	20:10:03.721	9450		150.0
467	20:10:03.736	9600		150.0
468	20:10:03.751	9750		150.0
469	20:10:03.766	9900		150.0
470	20:10:03.781	10050		150.0
471	20:10:03.796	10200		150.0
472	20:10:03.811	10350		150.0
473	20:10:03.826	10500		150.0
474	20:10:03.841	10650		150.0
475	20:10:03.871	10800		150.0
476	20:10:03.886	10950		150.0
477	20:10:03.901	11100		150.0
478	20:10:03.916	11250		150.0
479	20:10:03.931	11400		150.0
480	20:10:03.946	11550		150.0
481	20:10:03.961	11700		150.0
482	20:10:03.976	11850		150.0
483	20:10:03.991	12000		150.0
484	20:10:04.021	12150		150.0
485	20:10:04.036	12300		150.0
486	20:10:04.051	12450		150.0
487	20:10:04.066	12600		150.0
488	20:10:04.080	12750		150.0
489	20:10:04.094	12900		150.0
490	20:10:04.109	13050		150.0
491	20:10:04.125	13200		150.0
492	20:10:04.140	13350		150.0
493	20:10:04.156	13500		150.0
494	20:10:04.184	13650		150.0
495	20:10:04.201	13800		150.0
496	20:10:04.216	13950		150.0
497	20:10:04.231	14100		150.0
498	20:10:04.246	14250		150.0
499	20:10:04.276	14400		150.0
500	20:10:04.290	14550		150.0
501	20:10:04.306	14700		150.0
502	20:10:04.321	14850		150.0
503	20:10:04.336	15000		150.0
504	20:10:04.351	15150		150.0
505	20:10:04.366	15300		150.0
506	20:10:04.381	15450		150.0
507	20:10:04.411	15600		150.0
508	20:10:04.425	15750		150.0
509	20:10:04.455	15900		150.0
510	20:10:04.471	16050		150.0
511	20:10:04.486	16200		150.0
512	20:10:04.501	16350		150.0
513	20:10:04.516	16500		150.0
514	20:10:04.531	16650		150.0
515	20:10:04.546	16800		150.0
516	20:10:04.561	16950		150.0
517	20:10:04.576	17100		150.0
518	20:10:04.591	17250		150.0
519	20:10:04.606	17400		150.0
520	20:10:04.621	17550		150.0
521	20:10:04.635	17700		150.0
522	20:10:04.651	17850		150.0
523	20:10:04.665	18000		150.0
524	20:10:04.681	18150		150.0
525	20:10:04.695	18300		150.0
526	20:10:04.725	18450		150.0
527	20:10:04.741	18600		150.0
528	20:10:04.756	18750		150.0
529	20:10:04.771	18900		150.0
530	20:10:04.785	19050		150.0
531	20:10:04.799	19200		150.0
532	20:10:04.816	19350		150.0
533	20:10:04.831	19500		150.0
534	20:10:04.845	19650		150.0
535	20:10:04.876	19800		150.0
536	20:10:04.891	19950		150.0
537	20:10:04.906	0		150.0
538	20:10:04.921	150		150.0
539	20:10:04.936	300		150.0
540	20:10:04.966	450		150.0
541	20:10:04.981	600		150.0
542	20:10:04.996	750		150.0
543	20:10:05.011	900		150.0
544	20:10:05.026	1050		150.0
545	20:10:05.041	1200		150.0
546	20:10:05.071	1350		150.0
547	20:10:05.086	1500		150.0
548	20:10:05.101	1650		150.0
549	20:10:05.116	1800		150.0
550	20:10:05.131	1950		150.0
551	20:10:05.146	2100		150.0
552	20:10:05.161	2250		150.0
553	20:10:05.176	2400		150.0
554	20:10:05.191	2550		150.0
555	20:10:05.206	2700		150.0
556	20:10:05.221	2850		150.0
557	20:10:05.236	3000		150.0
558	20:10:05.266	3150		150.0
559	20:10:05.281	3300		150.0
560	20:10:05.296	3450		150.0
561	20:10:05.310	3600		150.0
562	20:10:05.326	3750		150.0
563	20:10:05.341	3900		150.0
564	20:10:05.356	4050		150.0
565	20:10:05.386	4200		150.0
566	20:10:05.400	4350		150.0
567	20:10:05.414	4500		150.0
568	20:10:05.431	4650		150.0
569	20:10:05.446	4800		150.0
570	20:10:05.461	4950		150.0
571	20:10:05.476	5100		150.0
572	20:10:05.491	5250		150.0
573	20:10:05.506	5400		150.0
574	20:10:05.519	5550		150.0
575	20:10:05.536	5700		150.0
576	20:10:05.551	5850		150.0
577	20:10:05.581	6000		150.0
578	20:10:05.596	6150		150.0
579	20:10:05.611	6300		150.0
580	20:10:05.626	6450		150.0
581	20:10:05.656	6600		150.0
582	20:10:05.671	6750		150.0
583	20:10:05.686	6900		150.0
584	20:10:05.701	7050		150.0
585	20:10:05.716	7200		150.0
586	20:10:05.731	7350		150.0
587	20:10:05.746	7500		150.0
588	20:10:05.761	7650		150.0
589	20:10:05.791	7800		150.0
590	20:10:05.804	7950		150.0
591	20:10:05.821	8100		150.0
592	20:10:05.836	8250		150.0
593	20:10:05.866	8400		150.0
594	20:10:05.881	8550		150.0
595	20:10:05.896	8700		150.0
596	20:10:05.911	8850		150.0
597	20:10:05.924	9000		150.0
598	20:10:05.941	9150		150.0
599	20:10:05.956	9300		150.0
600	20:10:05.971	9450		150.0
601	20:10:05.986	9600		150.0
602	20:10:06.001	9750		150.0
603	20:10:06.016	9900		150.0
604	20:10:06.030	10050		150.0
605	20:10:06.046	10200		150.0
606	20:10:06.059	10350		150.0
607	20:10:06.076	10500		150.0
608	20:10:06.091	10650		150.0
609	20:10:06.121	10800		150.0
610	20:10:06.135	10950		150.0
611	20:10:06.151	11100		150.0
612	20:10:06.166	11250		150.0
613	20:10:06.181	11400		150.0
614	20:10:06.196	11550		150.0
615	20:10:06.211	11700		150.0
616	20:10:06.226	11850		150.0
617	20:10:06.239	12000		150.0
