scan_time分析报告 - baseus-主板固定60Hz发送3.txt
==================================================

基本统计信息:
  总数据包数: 1504
  有效scan_time数: 1504
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 159.68
  递增值标准差: 407.54
  最小递增值: 0
  最大递增值: 15950

重置分析:
  检测到重置次数: 12
  重置点位置: [29, 163, 297, 431, 565, 699, 833, 967, 1101, 1235]...
  平均重置间隔: 115.7 包/次

一致性评估:
  一致性评分: 0.002 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
316	20:14:23.984	2700		150.0
317	20:14:23.999	2850		150.0
318	20:14:24.014	3000		150.0
319	20:14:24.029	3150		150.0
320	20:14:24.044	3300		150.0
321	20:14:24.059	3450		150.0
322	20:14:24.089	3600		150.0
323	20:14:24.104	3750		150.0
324	20:14:24.119	3900		150.0
325	20:14:24.134	4050		150.0
326	20:14:24.149	4200		150.0
327	20:14:24.164	4350		150.0
328	20:14:24.177	4500		150.0
329	20:14:24.194	4650		150.0
330	20:14:24.209	4800		150.0
331	20:14:24.238	4950		150.0
332	20:14:24.252	5100		150.0
333	20:14:24.269	5250		150.0
334	20:14:24.283	5400		150.0
335	20:14:24.299	5550		150.0
336	20:14:24.314	5700		150.0
337	20:14:24.329	5850		150.0
338	20:14:24.344	6000		150.0
339	20:14:24.357	6150		150.0
340	20:14:24.387	6300		150.0
341	20:14:24.404	6450		150.0
342	20:14:24.419	6600		150.0
343	20:14:24.434	6750		150.0
344	20:14:24.449	6900		150.0
345	20:14:24.464	7050		150.0
346	20:14:24.479	7200		150.0
347	20:14:24.494	7350		150.0
348	20:14:24.509	7500		150.0
349	20:14:24.524	7650		150.0
350	20:14:24.554	7800		150.0
351	20:14:24.569	7950		150.0
352	20:14:24.584	8100		150.0
353	20:14:24.599	8250		150.0
354	20:14:24.614	8400		150.0
355	20:14:24.644	8550		150.0
356	20:14:24.659	8700		150.0
357	20:14:24.674	8850		150.0
358	20:14:24.688	9000		150.0
359	20:14:24.704	9150		150.0
360	20:14:24.719	9300		150.0
361	20:14:24.734	9450		150.0
362	20:14:24.749	9600		150.0
363	20:14:24.779	9750		150.0
364	20:14:24.792	9900		150.0
365	20:14:24.809	10050		150.0
366	20:14:24.824	10200		150.0
367	20:14:24.839	10350		150.0
368	20:14:24.869	10500		150.0
369	20:14:24.884	10650		150.0
370	20:14:24.899	10800		150.0
371	20:14:24.914	10950		150.0
372	20:14:24.929	11100		150.0
373	20:14:24.944	11250		150.0
374	20:14:24.959	11400		150.0
375	20:14:24.974	11550		150.0
376	20:14:24.989	11700		150.0
377	20:14:25.004	11850		150.0
378	20:14:25.019	12000		150.0
379	20:14:25.034	12150		150.0
380	20:14:25.050	12300		150.0
381	20:14:25.064	12450		150.0
382	20:14:25.094	12600		150.0
383	20:14:25.109	12750		150.0
384	20:14:25.124	12900		150.0
385	20:14:25.139	13050		150.0
386	20:14:25.169	13200		150.0
387	20:14:25.184	13350		150.0
388	20:14:25.199	13500		150.0
389	20:14:25.214	13650		150.0
390	20:14:25.229	13800		150.0
391	20:14:25.244	13950		150.0
392	20:14:25.259	14100		150.0
393	20:14:25.274	14250		150.0
394	20:14:25.289	14400		150.0
395	20:14:25.317	14550		150.0
396	20:14:25.334	14700		150.0
397	20:14:25.349	14850		150.0
398	20:14:25.364	15000		150.0
399	20:14:25.379	15150		150.0
400	20:14:25.394	15300		150.0
401	20:14:25.407	15450		150.0
402	20:14:25.424	15600		150.0
403	20:14:25.439	15750		150.0
404	20:14:25.454	15900		150.0
405	20:14:25.484	16050		150.0
406	20:14:25.499	16200		150.0
407	20:14:25.514	16350		150.0
408	20:14:25.529	16500		150.0
409	20:14:25.544	16650		150.0
410	20:14:25.559	16800		150.0
411	20:14:25.574	16950		150.0
412	20:14:25.589	17100		150.0
413	20:14:25.604	17250		150.0
414	20:14:25.634	17400		150.0
415	20:14:25.649	17550		150.0
416	20:14:25.664	17700		150.0
417	20:14:25.679	17850		150.0
418	20:14:25.694	18000		150.0
419	20:14:25.709	18150		150.0
420	20:14:25.722	18300		150.0
421	20:14:25.737	18450		150.0
422	20:14:25.752	18600		150.0
423	20:14:25.781	18750		150.0
424	20:14:25.797	18900		150.0
425	20:14:25.812	19050		150.0
426	20:14:25.827	19200		150.0
427	20:14:25.842	19350		150.0
428	20:14:25.857	19500		150.0
429	20:14:25.886	19650		150.0
430	20:14:25.902	19800		150.0
431	20:14:25.917	19950		150.0
432	20:14:25.932	0		50.0
433	20:14:25.947	150		150.0
434	20:14:25.962	300		150.0
435	20:14:25.977	450		150.0
436	20:14:25.992	600		150.0
437	20:14:26.007	750		150.0
438	20:14:26.022	900		150.0
439	20:14:26.037	1050		150.0
440	20:14:26.052	1200		150.0
441	20:14:26.067	1350		150.0
442	20:14:26.096	1500		150.0
443	20:14:26.112	1650		150.0
444	20:14:26.127	1800		150.0
445	20:14:26.142	1950		150.0
446	20:14:26.171	2100		150.0
447	20:14:26.187	2250		150.0
448	20:14:26.202	2400		150.0
449	20:14:26.217	2550		150.0
450	20:14:26.232	2700		150.0
451	20:14:26.247	2850		150.0
452	20:14:26.262	3000		150.0
453	20:14:26.277	3150		150.0
454	20:14:26.292	3300		150.0
455	20:14:26.307	3450		150.0
456	20:14:26.322	3600		150.0
457	20:14:26.337	3750		150.0
458	20:14:26.352	3900		150.0
459	20:14:26.367	4050		150.0
460	20:14:26.382	4200		150.0
461	20:14:26.411	4350		150.0
462	20:14:26.427	4500		150.0
463	20:14:26.442	4650		150.0
464	20:14:26.457	4800		150.0
465	20:14:26.472	4950		150.0
466	20:14:26.487	5100		150.0
467	20:14:26.502	5250		150.0
468	20:14:26.517	5400		150.0
469	20:14:26.532	5550		150.0
470	20:14:26.561	5700		150.0
471	20:14:26.577	5850		150.0
472	20:14:26.606	6000		150.0
473	20:14:26.622	6150		150.0
474	20:14:26.637	6300		150.0
475	20:14:26.652	6450		150.0
476	20:14:26.667	6600		150.0
477	20:14:26.682	6750		150.0
478	20:14:26.697	6900		150.0
479	20:14:26.714	7050		150.0
480	20:14:26.729	7200		150.0
481	20:14:26.743	7350		150.0
482	20:14:26.759	7500		150.0
483	20:14:26.774	7650		150.0
484	20:14:26.789	7800		150.0
485	20:14:26.804	7950		150.0
486	20:14:26.819	8100		150.0
487	20:14:26.834	8250		150.0
488	20:14:26.849	8400		150.0
489	20:14:26.879	8550		150.0
490	20:14:26.894	8700		150.0
491	20:14:26.909	8850		150.0
492	20:14:26.924	9000		150.0
493	20:14:26.939	9150		150.0
494	20:14:26.954	9300		150.0
495	20:14:26.969	9450		150.0
496	20:14:26.984	9600		150.0
497	20:14:26.999	9750		150.0
498	20:14:27.027	9900		150.0
499	20:14:27.043	10050		150.0
500	20:14:27.059	10200		150.0
501	20:14:27.074	10350		150.0
502	20:14:27.089	10500		150.0
503	20:14:27.104	10650		150.0
504	20:14:27.119	10800		150.0
505	20:14:27.134	10950		150.0
506	20:14:27.147	11100		150.0
507	20:14:27.164	11250		150.0
508	20:14:27.194	11400		150.0
509	20:14:27.209	11550		150.0
510	20:14:27.224	11700		150.0
511	20:14:27.239	11850		150.0
512	20:14:27.254	12000		150.0
513	20:14:27.269	12150		150.0
514	20:14:27.284	12300		150.0
515	20:14:27.299	12450		150.0
516	20:14:27.314	12600		150.0
517	20:14:27.344	12750		150.0
518	20:14:27.359	12900		150.0
519	20:14:27.374	13050		150.0
520	20:14:27.389	13200		150.0
521	20:14:27.404	13350		150.0
522	20:14:27.419	13500		150.0
523	20:14:27.434	13650		150.0
524	20:14:27.450	13800		150.0
525	20:14:27.464	13950		150.0
526	20:14:27.494	14100		150.0
527	20:14:27.509	14250		150.0
