scan_time分析报告 - KB04122-主板固定60Hz发送5.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 149.25
  递增值标准差: 8.61
  最小递增值: 50
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 0.104 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
355	19:56:33.992	12900		150.0
356	19:56:34.022	13050		150.0
357	19:56:34.037	13200		150.0
358	19:56:34.052	13350		150.0
359	19:56:34.067	13500		150.0
360	19:56:34.082	13650		150.0
361	19:56:34.097	13800		150.0
362	19:56:34.111	13950		150.0
363	19:56:34.127	14100		150.0
364	19:56:34.142	14250		150.0
365	19:56:34.157	14400		150.0
366	19:56:34.185	14550		150.0
367	19:56:34.201	14700		150.0
368	19:56:34.217	14850		150.0
369	19:56:34.232	15000		150.0
370	19:56:34.247	15150		150.0
371	19:56:34.262	15300		150.0
372	19:56:34.278	15450		150.0
373	19:56:34.293	15600		150.0
374	19:56:34.306	15750		150.0
375	19:56:34.336	15900		150.0
376	19:56:34.352	16050		150.0
377	19:56:34.367	16200		150.0
378	19:56:34.382	16350		150.0
379	19:56:34.397	16500		150.0
380	19:56:34.411	16650		150.0
381	19:56:34.427	16800		150.0
382	19:56:34.442	16950		150.0
383	19:56:34.457	17100		150.0
384	19:56:34.485	17250		150.0
385	19:56:34.502	17400		150.0
386	19:56:34.517	17550		150.0
387	19:56:34.532	17700		150.0
388	19:56:34.547	17850		150.0
389	19:56:34.578	18000		150.0
390	19:56:34.592	18150		150.0
391	19:56:34.608	18300		150.0
392	19:56:34.622	18450		150.0
393	19:56:34.637	18600		150.0
394	19:56:34.652	18750		150.0
395	19:56:34.667	18900		150.0
396	19:56:34.682	19050		150.0
397	19:56:34.697	19200		150.0
398	19:56:34.712	19350		150.0
399	19:56:34.727	19500		150.0
400	19:56:34.757	19650		150.0
401	19:56:34.772	19800		150.0
402	19:56:34.787	19950		150.0
403	19:56:34.802	0		50.0
404	19:56:34.816	150		150.0
405	19:56:34.832	300		150.0
406	19:56:34.847	450		150.0
407	19:56:34.862	600		150.0
408	19:56:34.890	750		150.0
409	19:56:34.907	900		150.0
410	19:56:34.921	1050		150.0
411	19:56:34.937	1200		150.0
412	19:56:34.952	1350		150.0
413	19:56:34.967	1500		150.0
414	19:56:34.982	1650		150.0
415	19:56:34.997	1800		150.0
416	19:56:35.012	1950		150.0
417	19:56:35.040	2100		150.0
418	19:56:35.057	2250		150.0
419	19:56:35.072	2400		150.0
420	19:56:35.087	2550		150.0
421	19:56:35.102	2700		150.0
422	19:56:35.117	2850		150.0
423	19:56:35.132	3000		150.0
424	19:56:35.147	3150		150.0
425	19:56:35.162	3300		150.0
426	19:56:35.193	3450		150.0
427	19:56:35.208	3600		150.0
428	19:56:35.222	3750		150.0
429	19:56:35.237	3900		150.0
430	19:56:35.252	4050		150.0
431	19:56:35.267	4200		150.0
432	19:56:35.281	4350		150.0
433	19:56:35.297	4500		150.0
434	19:56:35.312	4650		150.0
435	19:56:35.327	4800		150.0
436	19:56:35.355	4950		150.0
437	19:56:35.372	5100		150.0
438	19:56:35.387	5250		150.0
439	19:56:35.402	5400		150.0
440	19:56:35.417	5550		150.0
441	19:56:35.431	5700		150.0
