scan_time分析报告 - KB04122-主板固定60Hz发送1.txt
==================================================

基本统计信息:
  总数据包数: 1447
  有效scan_time数: 1447
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [106, 240, 374, 508, 642, 776, 910, 1044, 1178, 1312]...
  平均重置间隔: 120.6 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
551	19:47:42.516	6300		150.0
552	19:47:42.531	6450		150.0
553	19:47:42.544	6600		150.0
554	19:47:42.561	6750		150.0
555	19:47:42.576	6900		150.0
556	19:47:42.591	7050		150.0
557	19:47:42.606	7200		150.0
558	19:47:42.621	7350		150.0
559	19:47:42.636	7500		150.0
560	19:47:42.666	7650		150.0
561	19:47:42.681	7800		150.0
562	19:47:42.711	7950		150.0
563	19:47:42.711	8100		150.0
564	19:47:42.739	8250		150.0
565	19:47:42.754	8400		150.0
566	19:47:42.769	8550		150.0
567	19:47:42.784	8700		150.0
568	19:47:42.799	8850		150.0
569	19:47:42.814	9000		150.0
570	19:47:42.843	9150		150.0
571	19:47:42.859	9300		150.0
572	19:47:42.888	9450		150.0
573	19:47:42.904	9600		150.0
574	19:47:42.919	9750		150.0
575	19:47:42.934	9900		150.0
576	19:47:42.949	10050		150.0
577	19:47:42.964	10200		150.0
578	19:47:42.979	10350		150.0
579	19:47:42.994	10500		150.0
580	19:47:43.009	10650		150.0
581	19:47:43.024	10800		150.0
582	19:47:43.039	10950		150.0
583	19:47:43.054	11100		150.0
584	19:47:43.069	11250		150.0
585	19:47:43.084	11400		150.0
586	19:47:43.114	11550		150.0
587	19:47:43.129	11700		150.0
588	19:47:43.144	11850		150.0
589	19:47:43.159	12000		150.0
590	19:47:43.174	12150		150.0
591	19:47:43.189	12300		150.0
592	19:47:43.204	12450		150.0
593	19:47:43.219	12600		150.0
594	19:47:43.234	12750		150.0
595	19:47:43.249	12900		150.0
596	19:47:43.278	13050		150.0
597	19:47:43.294	13200		150.0
598	19:47:43.311	13350		150.0
599	19:47:43.326	13500		150.0
600	19:47:43.341	13650		150.0
601	19:47:43.356	13800		150.0
602	19:47:43.371	13950		150.0
603	19:47:43.401	14100		150.0
604	19:47:43.416	14250		150.0
605	19:47:43.431	14400		150.0
606	19:47:43.446	14550		150.0
607	19:47:43.459	14700		150.0
608	19:47:43.476	14850		150.0
609	19:47:43.491	15000		150.0
610	19:47:43.506	15150		150.0
611	19:47:43.549	15300		150.0
