name,type,start_time,duration,"rom_command","data"
"1-Wire","reset",2025-09-04T08:22:07.846700792+00:00,0.014870375,,
"1-Wire","reset",2025-09-04T08:22:07.861655625+00:00,0.014921917,,
"1-Wire","reset",2025-09-04T08:22:07.876661958+00:00,0.01486075,,
"1-Wire","reset",2025-09-04T08:22:07.891607042+00:00,0.0149785,,
"1-Wire","reset",2025-09-04T08:22:07.906669958+00:00,0.014891917,,
"1-Wire","reset",2025-09-04T08:22:07.921627292+00:00,0.014932792,,
"1-Wire","reset",2025-09-04T08:22:07.936654000+00:00,0.0149365,,
"1-Wire","reset",2025-09-04T08:22:07.951674917+00:00,0.014892,,
"1-Wire","reset",2025-09-04T08:22:07.966660417+00:00,0.014947083,,
"1-Wire","reset",2025-09-04T08:22:07.981691750+00:00,0.014921917,,
"1-Wire","reset",2025-09-04T08:22:07.996706792+00:00,0.014920583,,
"1-Wire","reset",2025-09-04T08:22:08.011692583+00:00,0.014820708,,
"1-Wire","reset",2025-09-04T08:22:08.026559708+00:00,0.015031917,,
"1-Wire","reset",2025-09-04T08:22:08.041628583+00:00,0.014928625,,
"1-Wire","reset",2025-09-04T08:22:08.056613167+00:00,0.0149445,,
"1-Wire","reset",2025-09-04T08:22:08.071604042+00:00,0.014937542,,
"1-Wire","reset",2025-09-04T08:22:08.086578542+00:00,0.014954875,,
"1-Wire","reset",2025-09-04T08:22:08.101579875+00:00,0.014939,,
"1-Wire","reset",2025-09-04T08:22:08.116565375+00:00,0.014940167,,
"1-Wire","reset",2025-09-04T08:22:08.131571042+00:00,0.015005,,
"1-Wire","reset",2025-09-04T08:22:08.146622500+00:00,0.014953875,,
"1-Wire","reset",2025-09-04T08:22:08.161632333+00:00,0.014921792,,
"1-Wire","reset",2025-09-04T08:22:08.176610083+00:00,0.014956875,,
"1-Wire","reset",2025-09-04T08:22:08.191613375+00:00,0.014893625,,
"1-Wire","reset",2025-09-04T08:22:08.206553458+00:00,0.014971208,,
"1-Wire","reset",2025-09-04T08:22:08.221571083+00:00,0.015010458,,
"1-Wire","reset",2025-09-04T08:22:08.236618500+00:00,0.014910958,,
"1-Wire","reset",2025-09-04T08:22:08.251575917+00:00,0.01499875,,
"1-Wire","reset",2025-09-04T08:22:08.266630625+00:00,0.014935208,,
"1-Wire","reset",2025-09-04T08:22:08.281621792+00:00,0.014978458,,
"1-Wire","reset",2025-09-04T08:22:08.296665750+00:00,0.014881833,,
"1-Wire","reset",2025-09-04T08:22:08.311594042+00:00,0.014918792,,
"1-Wire","reset",2025-09-04T08:22:08.326559333+00:00,0.014995833,,
"1-Wire","reset",2025-09-04T08:22:08.341611167+00:00,0.014970083,,
"1-Wire","reset",2025-09-04T08:22:08.356637250+00:00,0.01494025,,
"1-Wire","reset",2025-09-04T08:22:08.371633500+00:00,0.014911208,,
"1-Wire","reset",2025-09-04T08:22:08.386600708+00:00,0.014943833,,
"1-Wire","reset",2025-09-04T08:22:08.401628958+00:00,0.014913417,,
"1-Wire","reset",2025-09-04T08:22:08.416626875+00:00,0.014987458,,
"1-Wire","reset",2025-09-04T08:22:08.431689250+00:00,0.014886833,,
"1-Wire","reset",2025-09-04T08:22:08.446660500+00:00,0.014951875,,
"1-Wire","reset",2025-09-04T08:22:08.461696792+00:00,0.014903583,,
"1-Wire","reset",2025-09-04T08:22:08.476675292+00:00,0.014865417,,
"1-Wire","reset",2025-09-04T08:22:08.491625125+00:00,0.014951708,,
"1-Wire","reset",2025-09-04T08:22:08.506661292+00:00,0.014934083,,
"1-Wire","reset",2025-09-04T08:22:08.521661000+00:00,0.01496525,,
"1-Wire","reset",2025-09-04T08:22:08.536710625+00:00,0.014874083,,
"1-Wire","reset",2025-09-04T08:22:08.551640625+00:00,0.014974667,,
"1-Wire","reset",2025-09-04T08:22:08.566680667+00:00,0.014899417,,
"1-Wire","reset",2025-09-04T08:22:08.581655083+00:00,0.01488625,,
"1-Wire","reset",2025-09-04T08:22:08.596625750+00:00,0.014973125,,
"1-Wire","reset",2025-09-04T08:22:08.611683292+00:00,0.014884542,,
"1-Wire","reset",2025-09-04T08:22:08.626661792+00:00,0.014909708,,
"1-Wire","reset",2025-09-04T08:22:08.641646458+00:00,0.014918167,,
"1-Wire","reset",2025-09-04T08:22:08.656639542+00:00,0.014923667,,
"1-Wire","reset",2025-09-04T08:22:08.671628833+00:00,0.014896375,,
"1-Wire","reset",2025-09-04T08:22:08.686600125+00:00,0.014976917,,
"1-Wire","reset",2025-09-04T08:22:08.701661500+00:00,0.014945542,,
"1-Wire","reset",2025-09-04T08:22:08.716672458+00:00,0.014823875,,
"1-Wire","reset",2025-09-04T08:22:08.731580750+00:00,0.014891292,,
"1-Wire","reset",2025-09-04T08:22:08.746546542+00:00,0.015007458,,
"1-Wire","reset",2025-09-04T08:22:08.761619000+00:00,0.014906958,,
"1-Wire","reset",2025-09-04T08:22:08.776600125+00:00,0.014889792,,
"1-Wire","reset",2025-09-04T08:22:08.791564000+00:00,0.014936333,,
"1-Wire","reset",2025-09-04T08:22:08.806583875+00:00,0.0149135,,
"1-Wire","reset",2025-09-04T08:22:08.821581542+00:00,0.014872958,,
"1-Wire","reset",2025-09-04T08:22:08.836519958+00:00,0.015057167,,
"1-Wire","reset",2025-09-04T08:22:08.851642667+00:00,0.014908875,,
"1-Wire","reset",2025-09-04T08:22:08.866588458+00:00,0.014939875,,
"1-Wire","reset",2025-09-04T08:22:08.881593750+00:00,0.014978542,,
"1-Wire","reset",2025-09-04T08:22:08.896628292+00:00,0.014879625,,
"1-Wire","reset",2025-09-04T08:22:08.911554417+00:00,0.014904417,,
"1-Wire","reset",2025-09-04T08:22:08.926514667+00:00,0.015008625,,
"1-Wire","reset",2025-09-04T08:22:08.941607708+00:00,0.014941333,,
"1-Wire","reset",2025-09-04T08:22:08.956633458+00:00,0.014937042,,
"1-Wire","reset",2025-09-04T08:22:08.971635958+00:00,0.014940917,,
"1-Wire","reset",2025-09-04T08:22:08.986661333+00:00,0.014876958,,
"1-Wire","reset",2025-09-04T08:22:09.001613208+00:00,0.014929667,,
"1-Wire","reset",2025-09-04T08:22:09.016627292+00:00,0.014885125,,
"1-Wire","reset",2025-09-04T08:22:09.031577333+00:00,0.014982667,,
"1-Wire","reset",2025-09-04T08:22:09.046644042+00:00,0.014891208,,
"1-Wire","reset",2025-09-04T08:22:09.061619042+00:00,0.014834625,,
"1-Wire","reset",2025-09-04T08:22:09.076527875+00:00,0.014925,,
"1-Wire","reset",2025-09-04T08:22:09.091527125+00:00,0.014984458,,
"1-Wire","reset",2025-09-04T08:22:09.106595583+00:00,0.014907125,,
"1-Wire","reset",2025-09-04T08:22:09.121549208+00:00,0.014974083,,
"1-Wire","reset",2025-09-04T08:22:09.136579208+00:00,0.014968458,,
"1-Wire","reset",2025-09-04T08:22:09.151603667+00:00,0.014955333,,
"1-Wire","reset",2025-09-04T08:22:09.166615000+00:00,0.014933833,,
"1-Wire","reset",2025-09-04T08:22:09.181585792+00:00,0.014952792,,
"1-Wire","reset",2025-09-04T08:22:09.196594542+00:00,0.014942792,,
"1-Wire","reset",2025-09-04T08:22:09.211593250+00:00,0.014955708,,
"1-Wire","reset",2025-09-04T08:22:09.226604958+00:00,0.014906042,,
"1-Wire","reset",2025-09-04T08:22:09.241557417+00:00,0.014928875,,
"1-Wire","reset",2025-09-04T08:22:09.256532792+00:00,0.014993583,,
"1-Wire","reset",2025-09-04T08:22:09.271572792+00:00,0.014891042,,
"1-Wire","reset",2025-09-04T08:22:09.286529208+00:00,0.015028125,,
"1-Wire","reset",2025-09-04T08:22:09.301641833+00:00,0.014880917,,
"1-Wire","reset",2025-09-04T08:22:09.316607167+00:00,0.014937875,,
"1-Wire","reset",2025-09-04T08:22:09.331620000+00:00,0.0149375,,
"1-Wire","reset",2025-09-04T08:22:09.346641958+00:00,0.014878792,,
"1-Wire","reset",2025-09-04T08:22:09.361595708+00:00,0.014872208,,
"1-Wire","reset",2025-09-04T08:22:09.376542583+00:00,0.01501675,,
"1-Wire","reset",2025-09-04T08:22:09.391633875+00:00,0.014852417,,
"1-Wire","reset",2025-09-04T08:22:09.406569875+00:00,0.014921792,,
"1-Wire","reset",2025-09-04T08:22:09.421566167+00:00,0.0148785,,
"1-Wire","reset",2025-09-04T08:22:09.436500583+00:00,0.015032833,,
"1-Wire","reset",2025-09-04T08:22:09.451598958+00:00,0.014908042,,
"1-Wire","reset",2025-09-04T08:22:09.466553417+00:00,0.014927333,,
"1-Wire","reset",2025-09-04T08:22:09.481536708+00:00,0.014995208,,
"1-Wire","reset",2025-09-04T08:22:09.496578333+00:00,0.014977208,,
"1-Wire","reset",2025-09-04T08:22:09.511611542+00:00,0.014860458,,
"1-Wire","reset",2025-09-04T08:22:09.526528042+00:00,0.014947458,,
"1-Wire","reset",2025-09-04T08:22:09.541531458+00:00,0.015042792,,
"1-Wire","reset",2025-09-04T08:22:09.556611250+00:00,0.014950583,,
"1-Wire","reset",2025-09-04T08:22:09.571617792+00:00,0.014908458,,
"1-Wire","reset",2025-09-04T08:22:09.586572708+00:00,0.014932333,,
